Season,Team,Season Start Elo,Season End Elo,Elo-difference
2000-2001,Ipswich,1357.33,1572.21,214.88
2015-2016,Leicester,1525.71,1728.96,203.25
2018-2019,Wolves,1408.36,1577.77,169.41
2016-2017,Chelsea,1646.36,1799.44,153.08
2020-2021,Leeds,1466.14,1618.59,152.45
2005-2006,Liverpool,1587.85,1733.39,145.54
1993-1994,Blackburn,1500.0,1642.67,142.67
2015-2016,West Ham,1492.59,1626.55,133.96
2024-2025,Nott'm Forest,1493.56,1625.82,132.26
2007-2008,Sunderland,1289.6,1421.78,132.18
2001-2002,Arsenal,1656.86,1788.63,131.77
1993-1994,Man United,1500.0,1631.54,131.54
2017-2018,Man City,1739.67,1864.45,124.78
2020-2021,Aston Villa,1454.81,1569.15,114.34
2022-2023,Fulham,1429.37,1541.68,112.31
2010-2011,West Brom,1429.82,1540.96,111.14
2019-2020,Sheffield United,1452.68,1562.2,109.52
1995-1996,Everton,1472.21,1581.51,109.3
2016-2017,Tottenham,1682.85,1790.41,107.56
2013-2014,Crystal Palace,1441.96,1548.06,106.1
2022-2023,Brentford,1543.39,1648.93,105.54
1993-1994,Newcastle,1500.0,1599.95,99.95
2024-2025,Brighton,1565.62,1662.75,97.13
1996-1997,Sheffield Weds,1443.56,1533.83,90.27
2015-2016,Southampton,1582.37,1666.72,84.35
2000-2001,Charlton,1447.1,1529.56,82.46
2002-2003,Bolton,1460.69,1542.03,81.34
2017-2018,Burnley,1479.33,1559.23,79.9
2010-2011,Wigan,1454.91,1532.18,77.27
2013-2014,Stoke,1509.21,1582.89,73.68
2011-2012,Norwich,1454.95,1524.38,69.43
2015-2016,Watford,1414.94,1483.42,68.48
2023-2024,Bournemouth,1482.69,1548.9,66.21
2014-2015,Swansea,1519.63,1581.85,62.22
2006-2007,Portsmouth,1496.26,1558.37,62.11
2009-2010,Birmingham,1465.6,1522.47,56.87
2006-2007,Reading,1500.0,1554.46,54.46
1997-1998,Coventry,1496.94,1550.88,53.94
1993-1994,QPR,1500.0,1548.91,48.91
1996-1997,Middlesbrough,1448.19,1488.04,39.85
1993-1994,Wimbledon,1500.0,1536.49,36.49
2014-2015,Hull,1435.07,1457.46,22.39
2018-2019,Cardiff,1426.36,1444.78,18.42
2000-2001,Derby,1478.32,1495.13,16.81
2017-2018,Huddersfield,1500.0,1490.34,-9.66
2010-2011,Blackpool,1500.0,1482.78,-17.22
1993-1994,Oldham,1500.0,1463.64,-36.36
1999-2000,Bradford,1500.0,1462.14,-37.86
1997-1998,Barnsley,1500.0,1430.17,-69.83
2023-2024,Luton,1500.0,1427.8,-72.2
1993-1994,Swindon,1500.0,1413.16,-86.84
