Rank,Team,Ratings
1,Liverpool,1784.0156675363462
2,Man City,1779.9254166064934
3,Arsenal,1767.560268304088
4,Chelsea,1683.6862228638238
5,Aston Villa,1673.1434701443934
6,Newcastle,1654.6457864829922
7,Brighton,1639.4789495181
8,Crystal Palace,1617.6829454654564
9,Brentford,1596.6106423831343
10,Nott'm Forest,1596.0018838056897
11,Everton,1592.9292869059652
12,Bournemouth,1586.4952164885312
13,Fulham,1578.788883587368
14,Man United,1562.8711975070275
15,West Ham,1544.2769266291652
16,Wolves,1535.8930002904658
17,Tottenham,1529.4390575870732
18,Wigan,1497.0719847531032
19,Birmingham,1495.3221606639675
20,Stoke,1491.1954906636704
21,Blackpool,1483.5869383294669
22,Swansea,1480.1503960515745
23,Bolton,1478.1321715828487
24,Charlton,1474.103155273479
25,Leeds,1467.8030169716553
26,Oldham,1465.0502950886046
27,Blackburn,1457.8068267313722
28,Hull,1449.8744634444765
29,Leicester,1449.659837011642
30,Coventry,1445.5490034413665
31,Portsmouth,1443.9056112495437
32,Sheffield Weds,1442.5871674517205
33,West Brom,1441.2512825820027
34,Cardiff,1441.2163507363857
35,Burnley,1440.7069648116453
36,Barnsley,1439.8494314604336
37,Luton,1438.6271236934435
38,Reading,1433.1754858386996
39,Middlesbrough,1426.979164371597
40,Sunderland,1425.2705648890494
41,Swindon,1424.6375845364764
42,Wimbledon,1418.083366884239
43,Ipswich,1417.2795996272089
44,QPR,1412.2624981337613
45,Bradford,1407.1911102939482
46,Watford,1405.2411199416495
47,Huddersfield,1377.750085470179
48,Sheffield United,1369.8414778702322
49,Norwich,1367.8224620220676
50,Southampton,1353.4698199695774
51,Derby,1314.1011660527997
